,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,score_add
7403,1970-06-14,England,Germany,2,3,FIFA World Cup,León,Mexico,True,5
7580,1970-11-25,England,German DR,3,1,Friendly,London,England,False,4
7605,1971-02-03,Malta,England,0,1,UEFA Euro qualification,Gżira,Malta,False,1
7633,1971-04-21,England,Greece,3,0,UEFA Euro qualification,London,England,False,3
7664,1971-05-12,England,Malta,5,0,UEFA Euro qualification,London,England,False,5
7671,1971-05-15,Northern Ireland,England,0,1,British Championship,Belfast,Northern Ireland,False,1
7676,1971-05-19,England,Wales,0,0,British Championship,London,England,False,0
7681,1971-05-22,England,Scotland,3,1,British Championship,London,England,False,4
7865,1971-10-13,Switzerland,England,2,3,UEFA Euro qualification,Basel,Switzerland,False,5
7888,1971-11-10,England,Switzerland,1,1,UEFA Euro qualification,London,England,False,2
7926,1971-12-01,Greece,England,0,2,UEFA Euro qualification,Piraeus,Greece,False,2
8051,1972-04-29,England,Germany,1,3,UEFA Euro qualification,London,England,False,4
8071,1972-05-13,Germany,England,0,0,UEFA Euro qualification,Berlin,Germany,False,0
8085,1972-05-20,Wales,England,0,3,British Championship,Cardiff,Wales,False,3
8088,1972-05-23,England,Northern Ireland,0,1,British Championship,London,England,False,1
8095,1972-05-27,Scotland,England,0,1,British Championship,Glasgow,Scotland,False,1
8269,1972-10-11,England,Yugoslavia,1,1,Friendly,London,England,False,2
8312,1972-11-15,Wales,England,0,1,FIFA World Cup qualification,Cardiff,Wales,False,1
8375,1973-01-24,England,Wales,1,1,FIFA World Cup qualification,London,England,False,2
8396,1973-02-14,Scotland,England,0,5,Friendly,Glasgow,Scotland,False,5
8488,1973-05-12,England,Northern Ireland,2,1,British Championship,Liverpool,England,False,3
8497,1973-05-15,England,Wales,3,0,British Championship,London,England,False,3
8508,1973-05-19,England,Scotland,1,0,British Championship,London,England,False,1
8528,1973-05-27,Czechoslovakia,England,1,1,Friendly,Prague,Czechoslovakia,False,2
8540,1973-06-06,Poland,England,2,0,FIFA World Cup qualification,Chorzów,Poland,False,2
8545,1973-06-10,Russia,England,1,2,Friendly,Moscow,Soviet Union,False,3
8551,1973-06-14,Italy,England,2,0,Friendly,Turin,Italy,False,2
8674,1973-09-26,England,Austria,7,0,Friendly,London,England,False,7
8707,1973-10-17,England,Poland,1,1,FIFA World Cup qualification,London,England,False,2
8740,1973-11-14,England,Italy,0,1,Friendly,London,England,False,1
8873,1974-04-03,Portugal,England,0,0,Friendly,Lisbon,Portugal,False,0
8902,1974-05-11,Wales,England,0,2,British Championship,Cardiff,Wales,False,2
8907,1974-05-15,England,Northern Ireland,1,0,British Championship,London,England,False,1
8912,1974-05-18,Scotland,England,2,0,British Championship,Glasgow,Scotland,False,2
8917,1974-05-22,England,Argentina,2,2,Friendly,London,England,False,4
8922,1974-05-29,German DR,England,1,1,Friendly,Leipzig,German DR,False,2
8926,1974-06-01,Bulgaria,England,0,1,Friendly,Sofia,Bulgaria,False,1
8932,1974-06-05,Yugoslavia,England,2,2,Friendly,Belgrade,Yugoslavia,False,4
9058,1974-10-30,England,Czechoslovakia,3,0,UEFA Euro qualification,London,England,False,3
9090,1974-11-20,England,Portugal,0,0,UEFA Euro qualification,London,England,False,0
9173,1975-03-12,England,Germany,2,0,Friendly,London,England,False,2
9214,1975-04-16,England,Cyprus,5,0,UEFA Euro qualification,London,England,False,5
9233,1975-05-11,Cyprus,England,0,1,UEFA Euro qualification,Limassol,Cyprus,False,1
9240,1975-05-17,Northern Ireland,England,0,0,British Championship,Belfast,Northern Ireland,False,0
9245,1975-05-21,England,Wales,2,2,British Championship,London,England,False,4
9250,1975-05-24,England,Scotland,5,1,British Championship,London,England,False,6
9393,1975-09-03,Switzerland,England,1,2,Friendly,Basel,Switzerland,False,3
9437,1975-10-30,Czechoslovakia,England,2,1,UEFA Euro qualification,Bratislava,Czechoslovakia,False,3
9456,1975-11-19,Portugal,England,1,1,UEFA Euro qualification,Lisbon,Portugal,False,2
9564,1976-03-24,Wales,England,1,2,Friendly,Wrexham,Wales,False,3
9624,1976-05-08,Wales,England,0,1,British Championship,Cardiff,Wales,False,1
9626,1976-05-11,England,Northern Ireland,4,0,British Championship,London,England,False,4
9632,1976-05-15,Scotland,England,2,1,British Championship,Glasgow,Scotland,False,3
9642,1976-05-23,Brazil,England,1,0,Friendly,Los Angeles,USA,True,1
9647,1976-05-28,England,Italy,3,2,Friendly,New York,USA,True,5
9651,1976-05-31,USA,England,1,3,Friendly,Philadelphia,USA,False,4
9670,1976-06-13,Finland,England,1,4,FIFA World Cup qualification,Helsinki,Finland,False,5
9738,1976-09-08,England,Ireland,1,1,Friendly,London,England,False,2
9795,1976-10-13,England,Finland,2,1,FIFA World Cup qualification,London,England,False,3
9854,1976-11-17,Italy,England,2,0,FIFA World Cup qualification,Rome,Italy,False,2
9925,1977-02-09,England,Netherlands,0,2,Friendly,London,England,False,2
10013,1977-03-30,England,Luxembourg,5,0,FIFA World Cup qualification,London,England,False,5
10054,1977-05-28,Northern Ireland,England,1,2,British Championship,Belfast,Northern Ireland,False,3
10061,1977-05-31,England,Wales,0,1,British Championship,London,England,False,1
10068,1977-06-04,England,Scotland,1,2,British Championship,London,England,False,3
10073,1977-06-08,Brazil,England,0,0,Friendly,Rio de Janeiro,Brazil,False,0
10080,1977-06-12,Argentina,England,1,1,Friendly,Buenos Aires,Argentina,False,2
10089,1977-06-15,Uruguay,England,0,0,Friendly,Montevideo,Uruguay,False,0
10159,1977-09-07,England,Switzerland,0,0,Friendly,London,England,False,0
10216,1977-10-12,Luxembourg,England,0,2,FIFA World Cup qualification,Luxembourg,Luxembourg,False,2
10266,1977-11-16,England,Italy,2,0,FIFA World Cup qualification,London,England,False,2
10320,1978-02-22,Germany,England,2,1,Friendly,Munich,Germany,False,3
10376,1978-04-19,England,Brazil,1,1,Friendly,London,England,False,2
10400,1978-05-13,Wales,England,1,3,British Championship,Cardiff,Wales,False,4
10404,1978-05-16,England,Northern Ireland,1,0,British Championship,London,England,False,1
10413,1978-05-20,Scotland,England,0,1,British Championship,Glasgow,Scotland,False,1
10418,1978-05-24,England,Hungary,4,1,Friendly,London,England,False,5
10542,1978-09-20,Denmark,England,3,4,UEFA Euro qualification,Copenhagen,Denmark,False,7
10576,1978-10-25,Ireland,England,1,1,UEFA Euro qualification,Dublin,Ireland,False,2
10618,1978-11-29,England,Czechoslovakia,1,0,Friendly,London,England,False,1
10662,1979-02-07,England,Northern Ireland,4,0,UEFA Euro qualification,London,England,False,4
10741,1979-05-19,Northern Ireland,England,0,2,British Championship,Belfast,Northern Ireland,False,2
10748,1979-05-23,England,Wales,0,0,British Championship,London,England,False,0
10750,1979-05-26,England,Scotland,3,1,British Championship,London,England,False,4
10762,1979-06-06,Bulgaria,England,0,3,UEFA Euro qualification,Sofia,Bulgaria,False,3
10768,1979-06-10,Sweden,England,0,0,Friendly,Solna,Sweden,False,0
10769,1979-06-13,Austria,England,4,3,Friendly,Vienna,Austria,False,7
10888,1979-09-12,England,Denmark,1,0,UEFA Euro qualification,London,England,False,1
10932,1979-10-17,Northern Ireland,England,1,5,UEFA Euro qualification,Belfast,Northern Ireland,False,6
10996,1979-11-22,England,Bulgaria,2,0,UEFA Euro qualification,London,England,False,2
11031,1980-02-06,England,Ireland,2,0,UEFA Euro qualification,London,England,False,2
11104,1980-03-26,Spain,England,0,2,Friendly,Barcelona,Spain,False,2
11142,1980-05-13,England,Argentina,3,1,Friendly,London,England,False,4
11149,1980-05-17,Wales,England,4,1,British Championship,Wrexham,Wales,False,5
11151,1980-05-20,England,Northern Ireland,1,1,British Championship,London,England,False,2
11160,1980-05-24,Scotland,England,0,2,British Championship,Glasgow,Scotland,False,2
11163,1980-05-31,Australia,England,1,2,Friendly,Sydney,Australia,False,3
11184,1980-06-12,Belgium,England,1,1,UEFA Euro,Turin,Italy,True,2
11197,1980-06-15,Italy,England,1,0,UEFA Euro,Turin,Italy,False,1
11204,1980-06-18,Spain,England,1,2,UEFA Euro,Naples,Italy,True,3
11292,1980-09-10,England,Norway,4,0,FIFA World Cup qualification,London,England,False,4
11366,1980-10-15,Romania,England,2,1,FIFA World Cup qualification,Bucharest,Romania,False,3
11432,1980-11-19,England,Switzerland,2,1,FIFA World Cup qualification,London,England,False,3
11588,1981-03-25,England,Spain,1,2,Friendly,London,England,False,3
11658,1981-04-29,England,Romania,0,0,FIFA World Cup qualification,London,England,False,0
11673,1981-05-12,England,Brazil,0,1,Friendly,London,England,False,1
11686,1981-05-20,England,Wales,0,0,British Championship,London,England,False,0
11688,1981-05-23,England,Scotland,0,1,British Championship,London,England,False,1
11696,1981-05-30,Switzerland,England,2,1,FIFA World Cup qualification,Basel,Switzerland,False,3
11707,1981-06-06,Hungary,England,1,3,FIFA World Cup qualification,Budapest,Hungary,False,4
11830,1981-09-09,Norway,England,2,1,FIFA World Cup qualification,Oslo,Norway,False,3
11941,1981-11-18,England,Hungary,1,0,FIFA World Cup qualification,London,England,False,1
12033,1982-02-23,England,Northern Ireland,4,0,British Championship,London,England,False,4
12112,1982-04-27,Wales,England,0,1,British Championship,Cardiff,Wales,False,1
12152,1982-05-25,England,Netherlands,2,0,Friendly,London,England,False,2
12157,1982-05-29,Scotland,England,0,1,British Championship,Glasgow,Scotland,False,1
12160,1982-06-02,Iceland,England,1,1,Friendly,Reykjavík,Iceland,False,2
12162,1982-06-03,Finland,England,1,4,Friendly,Helsinki,Finland,False,5
12179,1982-06-16,England,France,3,1,FIFA World Cup,Bilbao,Spain,True,4
12191,1982-06-20,England,Czechoslovakia,2,0,FIFA World Cup,Bilbao,Spain,True,2
12207,1982-06-25,England,Kuwait,1,0,FIFA World Cup,Bilbao,Spain,True,1
12215,1982-06-29,Germany,England,0,0,FIFA World Cup,Madrid,Spain,True,0
12224,1982-07-05,Spain,England,0,0,FIFA World Cup,Madrid,Spain,False,0
12267,1982-09-22,Denmark,England,2,2,UEFA Euro qualification,Copenhagen,Denmark,False,4
12290,1982-10-13,England,Germany,1,2,Friendly,London,England,False,3
12324,1982-11-17,Greece,England,0,3,UEFA Euro qualification,Salonica,Greece,False,3
12345,1982-12-15,England,Luxembourg,9,0,UEFA Euro qualification,London,England,False,9
12380,1983-02-23,England,Wales,2,1,British Championship,London,England,False,3
12412,1983-03-30,England,Greece,0,0,UEFA Euro qualification,London,England,False,0
12460,1983-04-27,England,Hungary,2,0,UEFA Euro qualification,London,England,False,2
12491,1983-05-28,Northern Ireland,England,0,0,British Championship,Belfast,Northern Ireland,False,0
12500,1983-06-01,England,Scotland,2,0,British Championship,London,England,False,2
